"
TERM","
SCHOOL","
PTRM","
DEPT","
SUBJ","
NUMB","
CRN","
COURSE TITLE","BEG 
TIME","END 
TIME","MEET
DAYS","
BUILDING","
ROOM","
SCHD","
INSTRUCTOR","CRED
HRS",Load,"
CAP","AVAIL
SEATS","LOW 
ENRL","
CLOSED"
201390,HM,1,MDL,CHI,170,16043,Beginning Chinese I,1100,1150,MTRF,EULER,062,A,Geoff Hoffmann,4,4,20,1,,
201390,HM,1,MDL,FRE,201,15774,Intermediate French,1300,1350,M,READE,143,A,Shawncey Webb,3,3,24,20,YES,
201390,HM,1,MDL,FRE,201,15774,Intermediate French,1300,1350,WF,READE,140,A,Shawncey Webb,0,0,0,0,YES,
201390,HM,1,MDL,KOR,170,16040,Elementary Korean,1300,1350,MWRF,READE,143,A,Abraham Chang,8,8,48,18,,
201390,HM,1,MDL,SPA,101,13323,Elementary Spanish I,1200,1250,MTWF,READE,143,A,Elizabeth Messer,4,4,24,0,,YES
201390,HM,1,MDL,SPA,101,14372,Elementary Spanish I,1400,1450,MTWF,READE,143,A,Elizabeth Messer,4,4,24,0,,YES
201390,HM,1,MDL,SPA,101,14401,Elementary Spanish I,1500,1550,MTWF,READE,143,A,Elizabeth Messer,4,4,24,5,,
201390,HM,1,MDL,SPA,201,10270,Intermediate Spanish I,900,950,F,READE,140,A,Daniel Treber,0,0,0,0,,
201390,HM,1,MDL,SPA,201,10270,Intermediate Spanish I,900,950,MW,READE,143,A,Daniel Treber,3,3,24,4,,
201390,HM,1,MDL,SPA,201,10271,Intermediate Spanish I,800,850,M,READE,143,A,Daniel Treber,3,3,24,3,,
201390,HM,1,MDL,SPA,201,10271,Intermediate Spanish I,800,850,WF,READE,140,A,Daniel Treber,0,0,0,0,,
201390,HM,1,MDL,SPA,201,10272,Intermediate Spanish I,1500,1550,MWF,READE,140,A,Abraham Chang,3,3,24,0,,YES
201390,HM,1,MDL,SPA,201,10274,Intermediate Spanish I,1300,1350,M,READE,140,A,Gregory Klotz,3,3,24,0,,YES
201390,HM,1,MDL,SPA,201,10274,Intermediate Spanish I,1300,1350,WF,READE,143,A,Gregory Klotz,0,0,0,0,,YES
201390,HM,1,MDL,SPA,201,14398,Intermediate Spanish I,1100,1150,M,READE,140,A,Gregory Klotz,3,3,24,0,,YES
201390,HM,1,MDL,SPA,201,14398,Intermediate Spanish I,1100,1150,WF,READE,143,A,Gregory Klotz,0,0,0,0,,YES
201390,HM,1,MDL,SPA,305,14679,Communication in Spanish,1400,1450,MWF,READE,140,A,Gregory Klotz,3,3,24,8,,
201390,HM,1,MDL,SPA,310,15720,Culture/Civiliz Hispanic Amer,1100,1150,MWF,READE,218,A,Abraham Chang,3,3,24,15,,
201390,HM,1,MDL,SPA,421,15673,Span Medieval & Ren Lit,1300,1350,MWF,AYRES,214,A,Daniel Treber,4,4,24,20,YES,
201390,HM,1,MDL,SPA,421,15673,Span Medieval & Ren Lit,1300,1350,T,READE,140,A,Daniel Treber,0,0,0,0,YES,
201410,HM,1,MDL,SPA,202,21106,Intermediate Spanish II,1300,1530,MTRF,READE,143,A,Abraham Chang,3,3,24,0,,YES
201410,HM,1,MDL,SPA,202,21325,Intermediate Spanish II,1300,1530,MTRF,READE,119,A,Gregory Klotz,3,3,24,1,,
201420,HM,1,MDL,CHI,170,35868,Beginning Chinese II,1100,1150,MTRF,AYRES,214,A,Geoff Hoffmann,4,4,20,8,,
201420,HM,1,MDL,FRE,202,35551,Intermediate French II,1300,1350,MWF,READE,218,A,Shawncey Webb,3,3,24,16,,
201420,HM,1,MDL,KOR,170,35771,Elementary Korean II,1500,1550,MTWF,READE,143,A,Abraham Chang,4,4,24,15,,
201420,HM,1,MDL,MDL,309,35238,Teaching Mod Lang in Sec/JH/MS,1230,1500,T,TBD,TBD,G,Abraham Chang,2,2,15,14,YES,
201420,HM,1,MDL,SPA,102,30283,Elementary Spanish II,1100,1150,MTWF,READE,212,A,Gregory Klotz,4,4,24,0,,YES
201420,HM,1,MDL,SPA,102,30284,Elementary Spanish II,800,850,F,READE,143,A,Daniel Treber,0,0,0,0,,
201420,HM,1,MDL,SPA,102,30284,Elementary Spanish II,800,850,MTW,READE,140,A,Daniel Treber,4,4,24,3,,
201420,HM,1,MDL,SPA,102,33458,Elementary Spanish II,1300,1350,MTWF,READE,143,A,Gregory Klotz,4,4,24,0,,YES
201420,HM,1,MDL,SPA,102,34542,Elementary Spanish II,1400,1450,MTWF,READE,143,A,Gregory Klotz,4,4,24,0,,YES
201420,HM,1,MDL,SPA,202,32620,Intermediate Spanish II,1100,1150,MWF,READE,140,A,Abraham Chang,3,3,24,0,,YES
201420,HM,1,MDL,SPA,202,33234,Intermediate Spanish II,1400,1450,MWF,READE,140,A,Elizabeth Messer,3,3,24,10,,
201420,HM,1,MDL,SPA,202,35234,Intermediate Spanish II,1200,1250,MWF,READE,143,A,Elizabeth Messer,3,3,24,6,,
201420,HM,1,MDL,SPA,202,35262,Intermediate Spanish II,900,950,MWF,READE,143,A,Gregory Klotz,3,3,24,1,,
