CRED HRS,LOAD,"Part
Time","
Dept","
Subj","
Numb","
CRN","
Course Title","Begin
Time","End 
Time","
Days","
Bldg","
Room","
Schd","
Instructor",CRED HRS,LOAD,"
Cap","Avail
Seats","Low 
Enrl","
Closed"
201390,HM,1,ART,ART,101,10001,Drawing I,1600,1750,MW,MMVA,210,G,Suzanne Dittenber,3,3,20,3,,
201390,HM,1,ART,ART,151,10002,Two-Dimensional Design,1400,1550,TR,MMVA,206,G,Susan Nace,3,3,20,4,,
201390,HM,1,ART,ART,203,16087,Drawing II,1800,2130,R,MMVA,204,G,Suzanne Dittenber,3,3,20,20,YES,
201390,HM,1,ART,ART,251,10003,Typography,800,950,TR,MMVA,206,G,Art Adjunct,3,3,20,6,,
201390,HM,1,ART,ART,253,12974,Foundations of Photography,1300,1450,MW,MMVA,207,A,James Miles,3,3,16,1,,
201390,HM,1,ART,ART,271,11594,Three Dimensional Design,1100,1250,MW,MMVA,106,G,Joshua Welker,3,3,16,1,,
201390,HM,1,ART,ART,272,14750,Sculpture 1,1230,1420,TR,MMVA,106,G,Joshua Welker,3,3,16,10,,
201390,HM,1,ART,ART,300,10006,Art for Teachers,1100,1150,MW,MMVA,8,G,Kathryn Herrmann,2,2,20,13,,
201390,HM,1,ART,ART,300,16018,Art for Teachers,900,950,MW,MMVA,8,G,Kathryn Herrmann,2,2,20,10,,
201390,HM,1,ART,ART,310,16019,Elementary Art Education,1400,1450,MWF,MMVA,8,G,Kathryn Herrmann,3,3,20,11,,
201390,HM,1,ART,ART,311,15426,Western Art History 1-SP,1530,1700,TR,MMVA,2,A,Rachel Smith,3,3,30,14,,
201390,HM,1,ART,ART,322,14705,Water-Based Media,1800,2130,R,MMVA,204,G,Suzanne Dittenber,3,3,20,16,YES,
201390,HM,1,ART,ART,324,16041,Painting II,1800,2130,R,MMVA,204,G,Suzanne Dittenber,3,3,20,16,YES,
201390,HM,1,ART,ART,339,16084,Intro to Relief Printmaking,1800,2130,M,MMVA,202,G,Suzanne Dittenber,3,3,15,11,YES,
