"
TERM","
SCHOOL","
PTRM","
DEPT","
SUBJ","
NUMB","
CRN","
COURSE TITLE","BEG 
TIME","END 
TIME","MEET
DAYS","
BUILDING","
ROOM","
SCHD","
INSTRUCTOR","CRED
HRS",LOAD,"
CAP","AVAIL
SEATS",,
201420,NS,1,BIO,BIO,101,35759,Principles of Cell Biology,1400,1450,MWF,,,A,John Moore,4,3,32,32,,
201420,NS,1,BIO,BIO,101,30057,Principles of Cell Biology,1200,1250,MWF,ESC,109,A,John Moore,4,3,32,32,,
201420,NS,1,BIO,BIO,101L,30058,Principles of Cell Biology Lab,1200,1350,R,ESC,333,B,John Moore,0,2,16,16,,
201420,NS,1,BIO,BIO,101L,32164,Principles of Cell Biology Lab,1400,1550,R,ESC,333,B,John Moore,0,1,16,16,,
201420,NS,1,BIO,BIO,101L,35503,Principles of Cell Biology Lab,800,950,R,ESC,333,B,John Moore,0,1,16,16,,
201420,NS,1,BIO,BIO,101L,35605,Principles of Cell Biology Lab,1000,1150,R,ESC,333,B,John Moore,0,1,16,16,,
201420,NS,1,BIO,BIO,103,34931,Introductory Plant Biology,1100,1250,MW,ESC,TBD,C,Elizabeth Hasenmyer,3,2,48,48,,
201420,NS,1,BIO,BIO,103L,34932,Introductory Plant Biology Lab,800,950,R,NS,TBD,B,Elizabeth Hasenmyer,0,2,16,16,,
201420,NS,1,BIO,BIO,103L,34933,Introductory Plant Biology Lab,1200,1350,R,NS,TBD,B,Elizabeth Hasenmyer,0,1,16,16,,
201420,NS,1,BIO,BIO,103L,35504,Introductory Plant Biology Lab,1500,1650,R,NS,TBD,B,Elizabeth Hasenmyer,0,1,16,16,,
201420,NS,1,BIO,BIO,104,30062,Introductory Animal Biology,1300,1350,MW,ESC,109,A,Jan Reber,3,2,48,48,,
201420,NS,1,BIO,BIO,104L,30063,Intro Animal Biology Lab,1200,1450,T,NS,108,B,Jan Reber,0,2,16,16,,
201420,NS,1,BIO,BIO,104L,30064,Intro Animal Biology Lab,1500,1750,T,NS,108,B,Elizabeth Hasenmyer,0,1,16,16,,
201420,NS,1,BIO,BIO,104L,35604,Intro Animal Biology Lab,900,1150,T,NS,108,B,Jan Reber,0,1,16,16,,
201420,NS,1,BIO,BIO,203,30935,Principles of Genetics,800,850,MWF,ESC,130,A,John Moore,4,3,36,36,,
201420,NS,1,BIO,BIO,203L,30936,Princ of Genetics Lab,1300,1450,T,ESC,333,B,Jeffrey Regier,0,2,12,12,,
201420,NS,1,BIO,BIO,203L,30937,Princ of Genetics Lab,1500,1650,T,ESC,333,B,Jeffrey Regier,0,1,12,12,,
201420,NS,1,BIO,BIO,203L,35760,Principles of Genetics Lab,800,950,T,ESC,TBD,B,Brian Dewar,0,1,12,12,,
201420,NS,1,BIO,BIO,245,30069,Human Anatomy & Physiology II,1100,1150,MWF,ESC,109,A,Brian Dewar,4,3,60,60,,
201420,NS,1,BIO,BIO,245L,30070,Human Anat & Physiology Lab,800,950,R,ESC,331,B,Brian Dewar,0,2,20,20,,
201420,NS,1,BIO,BIO,245L,30071,Human Anat & Physiology Lab,1300,1450,R,ESC,331,B,Brian Dewar,0,1,20,20,,
201420,NS,1,BIO,BIO,245L,35761,Human Anatomy & Physiology Lab,1500,1650,R,ESC,TBD,B,Brian Dewar,0,1,20,20,,
201420,NS,1,BIO,BIO,307,30072,Vertebrate Natural Hist-SP,1100,1150,MWF,ESC,108,A,Jan Reber,4,3,15,15,,
201420,NS,1,BIO,BIO,307L,30073,Vertebrate Natural Hist Lab,800,1050,R,ESC,108,B,Jan Reber,0,3,15,15,,
201420,NS,1,BIO,BIO,312,35470,Cellular & Molecular Biology,1500,1550,MWF,ESC,108,A,Jeffrey Regier,4,3,12,12,,
201420,NS,1,BIO,BIO,312L,35471,Cellular & Molecular Bio Lab,700,950,R,ESC,300,B,Jeffrey Regier,0,3,12,12,,
201420,NS,1,BIO,BIO,410,35505,Bioethics,1800,2050,M,ESC,108,S,Andrew Whipple,3,3,12,12,,
201420,NS,1,BIO,BIO,452,34964,Animal Physiology,1300,1350,MWF,ESC,108,A,Brian Dewar,4,3,12,12,,
201420,NS,1,BIO,BIO,452L,34965,Animal Physiology Lab,1300,1550,T,ESC,331,B,Brian Dewar,0,3,12,12,,
201420,NS,1,BIO,BIO,471,35506,Microbiology and Immunology-SP,1100,1150,MTWF,ESC,108,A,Andrew Whipple,8,4,28,28,,
201420,NS,1,BIO,BIO,471L,35507,Microbiology & Immunology Lab,700,950,T,ESC,302,B,Andrew Whipple,0,3,14,14,,
201420,NS,1,BIO,BIO,507,34246,Vertebrate Natural History,1100,1150,MWF,ESC,108,A,Jan Reber,4,3,2,2,,
201420,NS,1,BIO,BIO,507L,34247,Vertebrate Natural History Lab,800,1050,R,NS,104,B,Jan Reber,0,3,8,8,,
201420,NS,1,BIO,BIO,571,35508,Microbiology & Immunology,1100,1150,MTWF,ESC,108,A,Andrew Whipple,8,4,2,2,,
201420,NS,1,BIO,BIO,571L,35509,Microbiology & Immunology Lab,700,950,T,ESC,TBD,B,Andrew Whipple,0,3,1,1,,
201410,NS,1,BIO,BIO,493,20008,Biology Senior Capstone-SP,1300,1500,MTWRF,ESC,108,S,Andrew Whipple,4,4,80,80,YES,
201390,NS,1,BIO,BIO,100,14146,General Biology,1400,1450,MWF,ESC,109,A,Elizabeth Hasenmyer,4,3,40,0,,YES
201390,NS,1,BIO,BIO,100L,10062,General Biology-Lab,1200,1350,R,NS,109,B,Elizabeth Hasenmyer,0,2,20,0,,YES
201390,NS,1,BIO,BIO,100L,10433,General Biology-Lab,1500,1650,R,NS,109,B,Elizabeth Hasenmyer,0,1,20,0,,YES
201390,NS,1,BIO,BIO,101,10064,Principles of Cell Biology,1200,1250,MWF,ESC,109,A,Andrew Whipple,4,3,32,9,,
201390,NS,1,BIO,BIO,101,16050,Principles of Cell Biology,900,950,MWF,NS,206,A,Andrew Whipple,4,3,32,26,,
201390,NS,1,BIO,BIO,101L,10066,Principles of Cell Biology Lab,1200,1350,R,ESC,333,B,John Moore,0,2,16,5,,
201390,NS,1,BIO,BIO,101L,10067,Principles of Cell Biology Lab,1400,1550,R,ESC,333,B,John Moore,0,1,16,5,,
201390,NS,1,BIO,BIO,101L,15709,Principles of Cell Biology Lab,800,950,R,ESC,333,B,John Moore,0,1,16,9,,
201390,NS,1,BIO,BIO,103,12356,Introductory Plant Biology,1100,1150,MW,ESC,109,A,Elizabeth Hasenmyer,3,2,48,15,,
201390,NS,1,BIO,BIO,103L,12879,Introductory Plant Biology Lab,800,950,T,NS,108,B,Elizabeth Hasenmyer,0,2,16,8,,
201390,NS,1,BIO,BIO,103L,15110,Introductory Plant Biology Lab,1200,1350,T,NS,108,B,Elizabeth Hasenmyer,0,1,16,2,,
201390,NS,1,BIO,BIO,103L,15710,Introductory Plant Biology Lab,1500,1650,T,NS,108,B,Elizabeth Hasenmyer,0,1,16,5,,
201390,NS,1,BIO,BIO,104,14613,Introductory Animal Biology,1300,1350,MW,ESC,130,A,Jan Reber,3,2,32,5,,
201390,NS,1,BIO,BIO,104L,14614,Introduct Animal Biology Lab,1200,1450,T,NS,109,B,Jan Reber,0,2,16,5,,
201390,NS,1,BIO,BIO,104L,15675,Introduct Animal Biology Lab,1500,1750,T,NS,109,C,Jan Reber,0,1,16,0,,YES
201390,NS,1,BIO,BIO,203,10073,Principles of Genetics,800,850,MWF,ESC,130,A,John Moore,4,3,36,0,,YES
201390,NS,1,BIO,BIO,203L,10075,Principles of Genetics Lab,1300,1450,T,ESC,333,B,Brian Dewar,0,2,12,0,,YES
201390,NS,1,BIO,BIO,203L,10076,Principles of Genetics Lab,1500,1650,T,ESC,333,B,Brian Dewar,0,1,12,0,,YES
201390,NS,1,BIO,BIO,203L,16052,Principles of Genetics Lab,800,950,T,ESC,333,B,Brian Dewar,0,1,12,0,,YES
201390,NS,1,BIO,BIO,244L,10078,Human Anat & Physiology I Lab,800,950,R,ESC,331,B,Brian Dewar,0,2,20,0,,YES
201390,NS,1,BIO,BIO,244L,10080,Human Anat & Physiology I Lab,1300,1450,R,ESC,331,B,Brian Dewar,0,1,20,0,,YES
201390,NS,1,BIO,BIO,244L,15755,Human Anat & Physiology I Lab,1000,1150,R,ESC,331,B,Brian Dewar,0,1,20,0,,YES
201390,NS,1,BIO,BIO,244,10435,Human Anatomy & Physiology I,1100,1150,MWF,NS,123,A,Brian Dewar,4,3,60,0,,YES
201390,NS,1,BIO,BIO,301,11983,Taxonomy of Vascular Plants,1300,1350,R,RES,116,A,Paul Rothrock,0,1,0,0,,
201390,NS,1,BIO,BIO,301,11983,Taxonomy of Vascular Plants,1500,1650,T,RES,116,A,Paul Rothrock,4,2,11,5,,
201390,NS,1,BIO,BIO,301L,11984,Taxonomy of Vascular Plant Lab,1400,1650,R,RES,116,B,Paul Rothrock,0,3,6,0,,YES
201390,NS,1,BIO,BIO,312,10675,Cellular & Molecular Biology,1500,1550,MWF,ESC,108,A,Jeffrey Regier,4,3,12,2,,
201390,NS,1,BIO,BIO,312L,10676,Cellular & Molecular Bio Lab,700,950,R,ESC,300,B,Jeffrey Regier,0,3,12,2,,
