"
TERM","
SCHOOL","
PTRM","
DEPT","
SUBJ","
NUMB","
CRN","
COURSE TITLE","BEG 
TIME","END 
TIME","MEET
DAYS","
BUILDING","
ROOM","
SCHD","
INSTRUCTOR","CRED
HRS",LOAD,"
CAP","AVAIL
SEATS",,
201390,NS,1,CHB,CHE,100,10893,Chemistry for Living,1400,1450,MWF,NS,122,A,Patricia Stan,4,4,54,10,,
201390,NS,1,CHB,CHE,100L,10894,Chemistry for Living Lab,800,950,T,EULER,316,B,Patricia Stan,0,0,18,4,,
201390,NS,1,CHB,CHE,100L,14607,Chemistry for Living Lab,1100,1250,T,EULER,316,B,Patricia Stan,0,0,18,3,,
201390,NS,1,CHB,CHE,100L,15063,Chemistry for Living Lab,1400,1550,T,EULER,316,B,Patricia Stan,0,0,18,3,,
201390,NS,1,CHB,CHE,120H,16107,Forensic Science-Hon,1200,1250,MWF,NS,301,A,Daniel King,4,4,6,0,,YES
201390,NS,1,CHB,CHE,120HL,15707,Forensic Science Lab,1300,1450,W,NS,302,B,Daniel King,0,0,10,0,,YES
201390,NS,1,CHB,CHE,120HL,16111,Forensic Science Lab,1500,1650,T,NS,302,B,Daniel King,0,0,10,0,,YES
201390,NS,1,CHB,CHE,201,10924,"Gen, Organic & Biochem I",900,950,MWF,EULER,109,A,Stanley Burden,4,4,36,13,,
201390,NS,1,CHB,CHE,201L,15064,"Gen, Organic & Biochem I Lab",1200,1450,T,EULER,315,B,Patricia Stan,0,0,18,11,,
201390,NS,1,CHB,CHE,201L,15065,"Gen, Organic & Biochem I Lab",700,950,R,EULER,315,B,Patricia Stan,0,0,18,2,,
201390,NS,1,CHB,CHE,211,10623,College Chemistry I,900,950,MTWF,NS,123,A,LeRoy Kroll,4,4,72,7,,
201390,NS,1,CHB,CHE,211L,10654,College Chemistry I Lab,700,950,R,EULER,316,B,Michael Greening,0,0,18,-1,,YES
201390,NS,1,CHB,CHE,211L,10655,College Chemistry I Lab,1100,1350,R,EULER,315,B,Michael Greening,0,0,18,1,,
201390,NS,1,CHB,CHE,211L,10656,College Chemistry I Lab,1200,1450,R,EULER,316,B,Michael Greening,0,0,18,5,,
201390,NS,1,CHB,CHE,211L,15814,College Chemistry I Lab,1400,1650,R,EULER,315,B,Michael Greening,0,0,18,1,,
201390,NS,1,CHB,CHE,301,14611,Analytical Chemistry I,1300,1350,MWF,NS,301,A,Daniel King,4,4,20,6,,
201390,NS,1,CHB,CHE,301L,16059,Analytical Chemistry I Lab,1200,1450,R,NS,301,B,Daniel King,0,0,18,4,,
201390,NS,1,CHB,CHE,311,10110,Organic Chemistry I,1200,1250,MWF,NS,122,A,LeRoy Kroll,4,4,48,7,,
201390,NS,1,CHB,CHE,311L,10111,Organic Chemistry I Lab,700,950,R,EULER,344,B,LeRoy Kroll,0,0,16,2,,
201390,NS,1,CHB,CHE,311L,10556,Organic Chemistry I Lab,1400,1650,T,EULER,344,B,LeRoy Kroll,0,0,16,5,,
201390,NS,1,CHB,CHE,311L,15756,Organic Chemistry I Lab,1300,1550,R,EULER,344,B,LeRoy Kroll,0,0,16,0,,YES
201390,NS,1,CHB,CHE,340,16112,Toxicology,1500,1550,MWF,NS,301,G,Daniel King,4,4,16,14,YES,
201390,NS,1,CHB,CHE,411,10897,Biochemistry I,1100,1150,MWF,NS,301,A,Daniel Hammond,3,3,20,-4,,YES
201390,NS,1,CHB,CHE,412,16220,IS Biochemistry II,1600,1650,M,,,A,Daniel Hammond,3,3,1,0,YES,YES
201390,NS,1,CHB,CHE,420,15058,Chemistry Thesis-SP,1600,1650,M,EULER,341A,A,Daniel King,1,1,15,12,YES,
201390,NS,1,CHB,CHE,540,16113,Toxicology,1500,1550,MWF,NS,301,G,Daniel King,4,4,16,11,YES,
201410,NS,1,CHB,CHE,330,20486,Inorganic Chemistry,1400,1650,MTWRF,NS,308,A,Patricia Stan,9,9,30,30,YES,
201410,NS,1,CHB,CHE,410L,20129,Biochemistry Lab,1600,1650,M,NS,306,B,Daniel Hammond,2,2,10,10,YES,
201410,NS,1,CHB,CHE,420,20012,Chemistry Seminar Thesis-SP,1600,1650,M,NS,309,G,Daniel King,1,1,15,15,YES,
201420,NS,1,CHB,CHE,100,30861,Chemistry for Living,1400,1450,MWF,NS,123,A,Patricia Stan,4,4,54,54,YES,
201420,NS,1,CHB,CHE,100L,30862,Chemistry for Living Lab,800,950,T,EULER,316,B,Patricia Stan,0,0,18,18,YES,
201420,NS,1,CHB,CHE,100L,32908,Chemistry for Living Lab,1100,1250,T,EULER,316,B,Patricia Stan,0,0,18,18,YES,
201420,NS,1,CHB,CHE,100L,34865,Chemistry for Living Lab,1400,1550,T,EULER,316,B,Patricia Stan,0,0,18,18,YES,
201420,NS,1,CHB,CHE,120a,34866,Forensic Science-Physical Sci,1400,1450,MWF,NS,301,A,Daniel King,4,4,15,15,YES,
201420,NS,1,CHB,CHE,120b,34867,Forensic Science-Life Science,1400,1450,MWF,NS,301,A,Daniel Hammond,4,4,5,5,YES,
201420,NS,1,CHB,CHE,120L,34868,Forensic Science Lab,1300,1450,T,NS,301,B,Daniel King,0,0,10,10,YES,
201420,NS,1,CHB,CHE,120L,35549,Forensic Science Lab,1500,1650,T,NS,301,B,Daniel King,0,0,10,10,YES,
201420,NS,1,CHB,CHE,202,30535,"Gen, Organic & Biochem II",900,950,MWF,EULER,130,A,Daniel Hammond,4,4,36,36,YES,
201420,NS,1,CHB,CHE,202L,30542,Gen Organic & Biochem II Lab,1200,1450,T,EULER,315,B,Patricia Stan,0,0,18,18,YES,
201420,NS,1,CHB,CHE,202L,30543,Gen Organic Biochem II Lab,700,950,R,EULER,315,B,Patricia Stan,0,0,18,18,YES,
201420,NS,1,CHB,CHE,212,30536,College Chemistry II,900,950,MWF,EULER,109,A,LeRoy Kroll,4,4,72,72,YES,
201420,NS,1,CHB,CHE,212,30536,College Chemistry II,1000,1050,T,EULER,109,A,LeRoy Kroll,0,0,0,0,YES,
201420,NS,1,CHB,CHE,212L,30547,College Chemistry II Lab,700,950,R,EULER,316,B,Daniel King,0,0,18,18,YES,
