TERM,"
SCHOOL","
PTRM","
DEPT","
SUBJ","
NUMB","
CRN","
COURSE TITLE","BEG 
TIME","END 
TIME","MEET
DAYS","
BUILDING","
ROOM","
SCHD","
INSTRUCTOR","CRED
HRS",LOAD,"
CAP","AVAIL
SEATS","LOW 
ENRL","
CLOSED"
201390,SS,1,EDU,EDU,150,10697,Education in America,800,850,MWF,EULER,62,A,Solomon Abebe,3,3,24,0,,YES
201390,SS,1,EDU,EDU,150,10698,Education in America,900,950,MWF,EULER,62,A,Solomon Abebe,3,3,24,3,,
201390,SS,1,EDU,EDU,150,15083,Education in America,1100,1150,MWF,EULER,14,A,Solomon Abebe,3,3,24,6,,
201390,SS,1,EDU,EDU,150L,10699,Education in America Lab,700,1130,T,,,B,Solomon Abebe,0,0,18,0,,YES
201390,SS,1,EDU,EDU,150L,10700,Education in America Lab,1100,1530,T,,,B,Solomon Abebe,0,0,18,1,,
201390,SS,1,EDU,EDU,150L,10701,Education in America Lab,700,1130,R,,,B,Solomon Abebe,0,0,18,2,,
201390,SS,1,EDU,EDU,150L,10702,Education in America Lab,1100,1530,R,,,B,Solomon Abebe,0,0,18,6,,
201390,SS,1,EDU,EDU,200,14200,Intro to Early Childhood Prog,1300,1350,MWF,EULER,13,A,Cynthia Tyner,3,3,25,-1,,YES
201390,SS,1,EDU,EDU,200,14201,Intro to Early Childhood Prog,1400,1450,MWF,EULER,13,A,Cynthia Tyner,3,3,25,13,,
201390,SS,1,EDU,EDU,200L,14202,Intro Early Childhood Prog Lab,745,1145,T,,,B,Cynthia Tyner,0,0,5,-1,,YES
201390,SS,1,EDU,EDU,200L,14203,Intro Early Childhood Prog Lab,1130,1529,T,,,B,Cynthia Tyner,0,0,10,5,YES,
201390,SS,1,EDU,EDU,200L,14204,Intro Early Childhood Prog Lab,745,1145,R,,,B,Cynthia Tyner,0,0,5,-1,,YES
201390,SS,1,EDU,EDU,200L,14205,Intro Early Childhood Prog Lab,1130,1529,R,,,B,Cynthia Tyner,0,0,10,7,YES,
201390,SS,1,EDU,EDU,200L,14985,Intro Early Childhood Prog Lab,830,1229,T,,,B,Cynthia Tyner,0,0,10,1,,
201390,SS,1,EDU,EDU,200L,14986,Intro Early Childhood Prog Lab,830,1230,R,,,B,Cynthia Tyner,0,0,10,1,,
201390,SS,1,EDU,EDU,210,12640,Read/Write Prof Educators,1400,1515,TR,EULER,14,A,Neva Schwartz,3,3,25,6,,
201390,SS,1,EDU,EDU,210,12641,Read/Write Prof Educators,1600,1715,MW,EULER,14,A,Neva Schwartz,3,3,25,10,,
201390,SS,1,EDU,EDU,242,10618,Computers in Edu Settings,1100,1150,MWF,EULER,13,C,W. Quinn White,3,3,20,5,,
201390,SS,1,EDU,EDU,260,15125,Educational Psychology,900,950,MWF,NS,301,A,Carol Sisson,3,3,24,13,,
