"
TERM","
SCHOOL","
PTRM","
DEPT","
SUBJ","
NUMB","
CRN","
COURSE TITLE","BEG 
TIME","END 
TIME","MEET
DAYS","
BUILDING","
ROOM","
SCHD","
INSTRUCTOR","CRED
HRS",LOAD,"
CAP","AVAIL
SEATS","LOW 
ENRL","
CLOSED"
201420,NS,1,MAT,MAT,100,33893,Mathematics Fundamentals,930,1020,TR,EULER,100,A,Donna Toll,1,2,24,24,YES,
201420,NS,1,MAT,MAT,100,33894,Mathematics Fundamentals,1100,1150,TR,EULER,119,A,Donna Toll,1,2,24,24,YES,
201420,NS,1,MAT,MAT,100,35704,Mathematics Fundamentals,1400,1450,TR,,,A,Donna Toll,1,2,24,24,YES,
201420,NS,1,MAT,MAT,110,30236,Finite Mathematics,1500,1550,MWF,EULER,100,A,Philip Mummert,3,3,24,24,YES,
201420,NS,1,MAT,MAT,120,31817,Investigations in Mathematics,1400,1450,MWF,EULER,118,A,Mark Colgan,3,3,25,25,YES,
201420,NS,1,MAT,MAT,120,33895,Investigations in Mathematics,1500,1550,MWF,EULER,118,A,Mark Colgan,3,3,25,25,YES,
201420,NS,1,MAT,MAT,146,35138,Functions & Calculus,900,950,MWF,EULER,119,A,Curtis Blasiman,3,3,25,25,YES,
201420,NS,1,MAT,MAT,151,35397,Calculus I,1100,1150,MTWF,EULER,,A,Kenneth Constantine,4,4,32,32,YES,
201420,NS,1,MAT,MAT,180,32423,Problem Solving,1400,1515,TR,EULER,118,A,Matthew DeLong,3,3,30,30,YES,
201420,NS,1,MAT,MAT,202,35139,Math for Elem Teachers II,1100,1150,MWF,EULER,119,A,Ronald Benbow,4,4,18,18,YES,
201420,NS,1,MAT,MAT,202,35142,Math for Elem Teachers II,1300,1350,MWF,EULER,119,A,Ronald Benbow,4,4,18,18,YES,
201420,NS,1,MAT,MAT,210,31815,Introductory Statistics,1300,1350,MTWF,EULER,100,A,Patricia Erickson,4,4,27,27,YES,
201420,NS,1,MAT,MAT,210,31816,Introductory Statistics,1200,1250,MTWF,EULER,100,A,Patricia Erickson,4,4,27,27,YES,
201420,NS,1,MAT,MAT,230,30266,Calculus II,1100,1150,MTWF,EULER,100,A,Jeremy Case,4,4,32,32,YES,
201420,NS,1,MAT,MAT,240,35753,Calculus III,1200,1250,MTWF,,,A,Kenneth Constantine,4,4,30,30,YES,
201420,NS,1,MAT,MAT,245,35705,Linear Algebra,1400,1450,MTWF,,,A,Jeremy Case,4,4,30,30,YES,
201420,NS,1,MAT,MAT,251,32428,Differential Equations,1200,1250,MTWF,EULER,118,A,Matthew DeLong,4,4,30,30,YES,
201420,NS,1,MAT,MAT,280,35706,Math for Jr High/Middle School,1200,1250,MWF,,,A,Mark Colgan,3,3,24,24,YES,
201420,NS,1,MAT,MAT,280,35707,Math for Jr High/Mid Sch Lab,,,,,,B,Mark Colgan,0,0,24,24,YES,
201420,NS,1,MAT,MAT,309,35147,Tchg Math in Secondary Schools,1300,1350,TR,EULER,119,A,Ronald Benbow,2,2,20,20,YES,
201420,NS,1,MAT,MAT,340,35709,Advanced Calculus,900,950,MTWF,,,A,Philip Mummert,4,4,30,30,YES,
201420,NS,1,MAT,MAT,370,35708,Topics in Actuarial Science,,,,,,A,Philip Mummert,1,1,15,15,YES,
201390,NS,1,MAT,MAT,100,10241,Mathematics Fundamentals,1400,1450,TR,EULER,119,A,Donna Toll,1,2,24,2,,
201390,NS,1,MAT,MAT,100,10242,Mathematics Fundamentals,1300,1350,TR,EULER,119,A,Donna Toll,1,2,24,2,,
201390,NS,1,MAT,MAT,100,13549,Mathematics Fundamentals,900,950,TR,EULER,119,A,Donna Toll,1,2,24,0,,YES
201390,NS,1,MAT,MAT,100,15860,Mathematics Fundamentals,,,,,,4,Lisa Adkins,1,2,99,99,YES,
201390,NS,1,MAT,MAT,110,10243,Finite Mathematics,900,950,MWF,EULER,100,A,Curtis Blasiman,3,3,24,8,,
201390,NS,1,MAT,MAT,110,15861,Finite Mathematics,,,,,,4,Philip Mummert,3,3,99,99,YES,
201390,NS,1,MAT,MAT,120,12337,Investigations in Mathematics,1200,1250,MWF,NS,206,A,Philip Mummert,3,3,25,6,,
201390,NS,1,MAT,MAT,120,12338,Investigations in Mathematics,1300,1350,MWF,NS,206,A,Philip Mummert,3,3,25,3,,
201390,NS,1,MAT,MAT,145,15366,Intro to Functions & Calculus,900,950,MWF,EULER,119,A,Mark Colgan,3,3,20,10,,
201390,NS,1,MAT,MAT,151,10245,Calculus I,1100,1150,MTWF,NS,121,A,Mark Colgan,4,4,32,1,,
201390,NS,1,MAT,MAT,151,10247,Calculus I,1200,1250,MTWF,NS,121,A,Mark Colgan,4,4,32,3,,
201390,NS,1,MAT,MAT,205,16104,Explorations Elem Sch Math,1100,1150,MW,EULER,119,A,Ronald Benbow,2,2,32,1,,
201390,NS,1,MAT,MAT,205,16105,Explorations Elem Sch Math Lab,1100,1150,F,EULER,119,B,Ronald Benbow,0,1,32,2,,
201390,NS,1,MAT,MAT,210,11944,Introductory Statistics,1300,1350,MTWF,EULER,100,A,Patricia Erickson,4,4,27,0,,YES
201390,NS,1,MAT,MAT,210,11945,Introductory Statistics,1200,1250,MTWF,EULER,100,A,Patricia Erickson,4,4,27,0,,YES
201390,NS,1,MAT,MAT,215,12578,Discrete Math for Computer Sci,1500,1550,MWF,EULER,118,A,Philip Mummert,3,3,30,10,,
201390,NS,1,MAT,MAT,220,15962,Ways of Knowing-HON,1300,1350,MTWF,EULER,,A,Matthew DeLong,4,4,12,3,,
201390,NS,1,MAT,MAT,230,15375,Calculus II,1100,1150,MTWF,EULER,100,A,Jeremy Case,4,4,32,14,,
201390,NS,1,MAT,MAT,240,10254,Calculus III,1100,1150,MTWF,EULER,118,A,Kenneth Constantine,4,4,30,-2,,YES
201390,NS,1,MAT,MAT,255,14648,Justifications in Mathematics,1400,1450,MWF,EULER,118,A,Jeremy Case,3,3,30,17,,
201390,NS,1,MAT,MAT,301,16094,Number Concepts Elem Tchrs,1400,1450,MWF,EULER,119,A,Ronald Benbow,3,3,24,2,,
201390,NS,1,MAT,MAT,301,16095,Number Concepts Elem Tchrs,1300,1350,MWF,EULER,119,A,Ronald Benbow,3,3,18,-3,,YES
201390,NS,1,MAT,MAT,352,10258,Mathematical Statistics,1200,1250,MTWF,EULER,118,A,Kenneth Constantine,4,4,30,14,,
201390,NS,1,MAT,MAT,382,15029,Advanced Statistical Methods,1400,1450,MWF,EULER,100,A,Kenneth Constantine,3,3,30,0,,YES
