"
TERM","
SCHOOL","
PTRM","
DEPT","
SUBJ","
NUMB","
CRN","
COURSE TITLE","BEG 
TIME","END 
TIME","MEET
DAYS","
BUILDING","
ROOM","
SCHD","
INSTRUCTOR","CRED
HRS",LOAD,"
CAP","AVAIL
SEATS",,
201390,HM,1,MCM,MCM,115,15003,Intro to Media Writing,1100,1150,MWF,RUPP,205,A,Amy Smelser,3,3,20,1,,
201390,HM,1,MCM,MCM,115,15166,Intro to Media Writing,1200,1250,MWF,RUPP,205,A,Amy Smelser,3,3,20,3,,
201390,HM,1,MCM,MCM,115,15994,Intro to Media Writing,1300,1350,MWF,RUPP,205,A,Amy Smelser,3,3,20,4,,
201390,HM,1,MCM,MCM,215,15005,Audio Production,1400,1450,MWF,RUPP,205,A,Stephen Bailey,3,3,14,3,,
201390,HM,1,MCM,MCM,215,16117,Audio Production,1500,1550,MWF,RUPP,205,A,Stephen Bailey,3,3,14,3,,
201390,HM,1,MCM,MCM,220,15650,Film and Video Production,1230,1345,TR,RUPP,222,A,Andrew Bruner,3,3,12,0,,YES
201390,HM,1,MCM,MCM,255,15007,Media and Society-SP,1100,1150,MWF,RUPP,203,A,Stephen Bailey,3,3,20,1,,
201390,HM,1,MCM,MCM,261,15754,Intro to Public Relations,830,950,MW,RUPP,222,A,Donna Downs,3,3,24,14,,
201390,HM,1,MCM,MCM,300,15008,Media Laboratory,1600,1650,M,RUPP,229,B,Donna Downs,1,1,15,7,,
201390,HM,1,MCM,MCM,300,15010,Media Laboratory,1600,1650,M,RUPP,229,B,Kathleen Bruner,1,1,15,11,YES,
201390,HM,1,MCM,MCM,300,15012,Media Laboratory,1600,1650,M,RUPP,229,B,Andrew Bruner,1,1,15,15,YES,
201390,HM,1,MCM,MCM,300,15013,Media Laboratory,1600,1650,M,RUPP,229,B,Michael Saunier,1,1,15,15,YES,
201390,HM,1,MCM,MCM,300,15747,Media Laboratory,1600,1650,M,RUPP,229,B,Michael Saunier,2,2,10,10,YES,
201390,HM,1,MCM,MCM,300,15748,Media Laboratory,1600,1650,M,RUPP,229,B,Kathleen Bruner,2,2,10,10,YES,
201390,HM,1,MCM,MCM,300,15749,Media Laboratory,1600,1650,M,RUPP,229,B,Andrew Bruner,2,2,10,10,YES,
201390,HM,1,MCM,MCM,300,15750,Media Laboratory,1600,1650,M,RUPP,229,B,Donna Downs,2,2,10,5,YES,
201390,HM,1,MCM,MCM,330,15015,Scriptwriting,1800,2030,W,RUPP,222,A,John Lugar,3,3,20,-2,,YES
201390,HM,1,MCM,MCM,332,15016,Layout & Design,1800,2030,T,RUPP,229,A,Michael Saunier,3,3,19,-1,,YES
201390,HM,1,MCM,MCM,340,15995,Documentary Filmmaking,1300,1415,MW,RUPP,222,A,Kathleen Bruner,3,3,12,1,,
201390,HM,1,MCM,MCM,340,16163,Documentary Filmmaking,1230,1345,TR,RUPP,104,A,Kathleen Bruner,3,3,12,1,,
201390,HM,1,MCM,MCM,345,15447,Web Writing and Production,1100,1150,MWF,RUPP,229,A,Michael Saunier,3,3,19,9,,
201390,HM,1,MCM,MCM,350,16118,Media Theory and Ethics-SP,1400,1515,TR,RUPP,222,A,Stephen Bailey,3,3,25,9,,
201390,HM,1,MCM,MCM,355,15018,Multi-Camera Live Production,1530,1645,TR,RUPP,222,A,Andrew Bruner,3,3,12,0,,YES
201390,HM,1,MCM,MCM,355L,15019,Multi-Camera Live Prod Lab,1800,2100,M,RUPP,234,B,Andrew Bruner,0,0,12,0,,YES
201390,HM,1,MCM,MCM,360,16227,Issues & Crisis Management,1600,1650,M,,,I,Donna Downs,3,3,1,0,YES,YES
201390,HM,1,MCM,MCM,360a,16246,Event Planning,1600,1650,M,,,I,Donna Downs,3,3,1,0,YES,YES
201390,HM,1,MCM,MCM,361,14998,PR Cases and Campaigns-SL,830,950,TR,RUPP,222,A,Donna Downs,3,3,20,-3,,YES
201390,HM,1,MCM,MCM,370,16165,TU Hollywood Program,1600,1650,M,,,I,Kathleen Bruner,3,3,3,0,YES,YES
201390,HM,1,MCM,MCM,393a,16157,Practicum,1600,1650,M,,,P,Michael Saunier,3,3,1,0,YES,YES
201390,HM,1,MCM,MCM,393b,16160,Practicum,1600,1650,M,,,P,Donna Downs,4,4,1,0,YES,YES
201390,HM,1,MCM,MCM,393c,16166,Practicum,1600,1650,M,,,P,Donna Downs,1,1,1,0,YES,YES
201390,HM,1,MCM,MCM,455,15716,Directing and Cinematography,1500,1730,W,RUPP,222,A,Andrew Bruner,3,3,12,-2,,YES
201390,HM,1,MCM,MCM,492,16164,Internship,1600,1650,M,,,P,Kathleen Bruner,13,13,3,0,YES,YES
201390,HM,H1,MCM,MCM,125,15002,Media Comm: New Majors Orien,1200,1250,MW,RUPP,222,A,Donna Downs,1,1,20,1,,
201390,HM,H2,MCM,MCM,125,15807,Media Comm: New Majors Orien,1200,1250,MW,RUPP,222,A,Donna Downs,1,1,20,4,,
201410,HM,1,MCM,MCM,170,21297,Digital Tools: After Effects,1300,1530,MTWRF,,,A,Joshua Taylor,2,2,12,12,YES,
201410,HM,1,MCM,MCM,358,21096,Sundance Study Trip,1600,1650,M,OCD,,A,Kathleen Bruner,3,3,10,10,YES,
201410,HM,1,MCM,MCM,370a,21287,Chicago Study Trip,1600,1650,M,,,A,Donna Downs,3,3,10,10,YES,
201410,HM,1,MCM,MCM,370b,21298,Steadicam Workshop,900,1700,S,,,A,Daniel Madison,0,0,0,0,YES,
201410,HM,1,MCM,MCM,370b,21298,Steadicam Workshop,1600,1800,F,,,A,Daniel Madison,2,2,6,6,YES,
201420,HM,1,MCM,MCM,115,35191,Intro to Media Writing,1200,1250,MWF,READE,235,A,Amy Smelser,3,3,20,20,YES,
201420,HM,1,MCM,MCM,115,35812,Intro to Media Writing,1300,1350,MWF,,,A,Amy Smelser,3,3,20,20,YES,
201420,HM,1,MCM,MCM,215,34804,Audio Production,1300,1350,MWF,RUPP,222,A,Stephen Bailey,3,3,14,14,YES,
201420,HM,1,MCM,MCM,215,35772,Audio Production,1400,1450,MWF,,,A,Stephen Bailey,3,3,12,12,YES,
201420,HM,1,MCM,MCM,220,35511,Film and Video Production,1230,1345,TR,RUPP,222,A,Andrew Bruner,3,3,12,12,YES,
201420,HM,1,MCM,MCM,220,35813,Film and Video Production,1400,1515,TR,,,A,Andrew Bruner,3,3,12,12,YES,
201420,HM,1,MCM,MCM,255,34806,Media and Society-SP,900,950,MWF,RUPP,203,A,Stephen Bailey,3,3,20,20,YES,
201420,HM,1,MCM,MCM,261,34807,Intro to Public Relations,830,950,MW,RUPP,222,A,Donna Downs,3,3,24,24,YES,
201420,HM,1,MCM,MCM,300,34808,Media Laboratory,1600,1650,M,,,B,Donna Downs,1,1,15,15,YES,
201420,HM,1,MCM,MCM,300,34809,Media Laboratory,1600,1650,M,,,B,Donna Downs,2,2,10,10,YES,
201420,HM,1,MCM,MCM,300,34810,Media Laboratory,1600,1650,M,,,B,Kathleen Bruner,1,1,15,15,YES,
201420,HM,1,MCM,MCM,300,34811,Media Laboratory,1600,1650,M,,,B,Kathleen Bruner,2,2,10,10,YES,
201420,HM,1,MCM,MCM,300,34812,Media Laboratory,1600,1650,M,,,B,Andrew Bruner,1,1,10,10,YES,
201420,HM,1,MCM,MCM,300,34813,Media Laboratory,1600,1650,M,,,B,Andrew Bruner,2,2,10,10,YES,
201420,HM,1,MCM,MCM,300,34814,Media Laboratory,1600,1650,M,,,B,Michael Saunier,1,1,10,10,YES,
201420,HM,1,MCM,MCM,300,34815,Media Laboratory,1600,1650,M,,,B,Michael Saunier,2,2,2,2,YES,
201420,HM,1,MCM,MCM,315,34816,Advanced Media Writing,1100,1150,MWF,,,A,Amy Smelser,3,3,20,20,YES,
201420,HM,1,MCM,MCM,332,34817,Layout and Design,1800,2030,T,RUPP,229,A,Michael Saunier,3,3,19,19,YES,
201420,HM,1,MCM,MCM,332,35814,Layout and Design,830,950,WF,,,A,Michael Saunier,3,3,19,19,YES,
201420,HM,1,MCM,MCM,350,35104,Media Theory and Ethics,1100,1150,MWF,RUPP,,A,Stephen Bailey,3,3,25,25,YES,
201420,HM,1,MCM,MCM,388,34819,"Media, Faith, and Culture",1230,1345,TR,,,A,Kathleen Bruner,3,3,20,20,YES,
201420,HM,1,MCM,MCM,440,34820,Narrative Filmmaking,1600,1715,TR,RUPP,222,A,Andrew Bruner,3,3,12,12,YES,
201420,HM,1,MCM,MCM,461,34821,Pub Relations Writ/Prod-SP,830,950,TR,RUPP,222,A,Donna Downs,3,3,20,20,YES,
201420,HM,1,MCM,MCM,485P,34822,SR Capstone-Produc/Film/Web,1500,1730,M,RUPP,205,A,Kathleen Bruner,3,3,15,15,YES,
201420,HM,1,MCM,MCM,485W,34823,Sr Capstone-Writing/Public Rel,1500,1730,M,RUPP,222,A,Donna Downs,3,3,15,15,YES,
