"
TERM","
SCHOOL","
PTRM","
DEPT","
SUBJ","
NUMB","
CRN","
COURSE TITLE","BEG 
TIME","END 
TIME","MEET
DAYS","
BUILDING","
ROOM","
SCHD","
INSTRUCTOR","CRED
HRS",LOAD,"
CAP","AVAIL
SEATS",,
201290,AH,1,MCM,MCM,115,15003,Intro to Media Writing,1400,1515,MW,RUPP,104,A,Donna Downs,3,3,20,2,,
201290,AH,1,MCM,MCM,115,15166,Intro to Media Writing,900,1015,TR,RUPP,205,A,Kendra Beutler,3,3,20,10,,
201290,AH,1,MCM,MCM,215,15005,Audio Production,1200,1250,MWF,RUPP,222,A,Benjamin Lancaster,3,3,14,0,,YES
201290,AH,1,MCM,MCM,220,15337,Film and Video Production,1400,1515,TR,RUPP,222,A,Kathleen Bruner,3,3,12,0,,YES
201290,AH,1,MCM,MCM,220,15650,Film and Video Production,1230,1345,TR,RUPP,222,A,Andrew Bruner,3,3,12,1,,
201290,AH,1,MCM,MCM,255,15007,Media and Society-SP,1400,1450,MWF,RUPP,205,A,Benjamin Lancaster,3,3,20,-1,,YES
201290,AH,1,MCM,MCM,261,15754,Intro to Public Relations,830,950,TR,RUPP,104,A,Brent Rudin,3,3,24,16,,
201290,AH,1,MCM,MCM,300,15008,Media Laboratory,,,,RUPP,229,B,Sara Brookshire,1,1,15,6,,
201290,AH,1,MCM,MCM,300,15010,Media Laboratory,,,,RUPP,229,B,Kathleen Bruner,1,1,15,13,YES,
201290,AH,1,MCM,MCM,300,15012,Media Laboratory,,,,RUPP,229,B,Andrew Bruner,1,1,15,15,YES,
201290,AH,1,MCM,MCM,300,15013,Media Laboratory,,,,RUPP,229,B,Michael Saunier,1,1,15,13,YES,
201290,AH,1,MCM,MCM,300,15747,Media Laboratory,,,,RUPP,229,B,Michael Saunier,2,2,10,10,YES,
201290,AH,1,MCM,MCM,300,15748,Media Laboratory,,,,RUPP,229,B,Kathleen Bruner,2,2,10,10,YES,
201290,AH,1,MCM,MCM,300,15749,Media Laboratory,,,,RUPP,229,B,Andrew Bruner,2,2,10,10,YES,
201290,AH,1,MCM,MCM,300,15750,Media Laboratory,,,,RUPP,229,B,Sara Brookshire,2,2,10,8,YES,
201290,AH,1,MCM,MCM,330,15015,Scriptwriting,1230,1345,TR,RUPP,104,A,Benjamin Lancaster,3,3,20,1,,
201290,AH,1,MCM,MCM,332,15016,Layout & Design,1800,2030,T,RUPP,229,A,Michael Saunier,3,3,19,-1,,YES
201290,AH,1,MCM,MCM,332,15723,Layout and Design,1030,1145,TR,RUPP,229,A,Kendra Beutler,3,3,19,1,,
201290,AH,1,MCM,MCM,335,15658,Magazine and Feature Writing,1200,1315,MW,RUPP,205,A,Sara Brookshire,3,3,19,-2,,YES
201290,AH,1,MCM,MCM,345,15447,Web Writing and Production,1100,1150,MWF,RUPP,229,A,Michael Saunier,3,3,19,1,,
201290,AH,1,MCM,MCM,350,15338,Media Theory and Ethics-SP,1100,1215,TR,RUPP,205,A,Benjamin Lancaster,3,3,25,8,,
201290,AH,1,MCM,MCM,355,15018,Multi-Camera Live Production,1530,1759,T,RUPP,222,A,Andrew Bruner,3,3,12,1,,
201290,AH,1,MCM,MCM,355,15714,Multi-Camera Live Production,1530,1800,R,RUPP,222,A,Andrew Bruner,3,3,12,0,,YES
201290,AH,1,MCM,MCM,355,15019,Multi-Camera Live Prod Lab,1800,2100,M,RUPP,234,B,Andrew Bruner,0,0,12,0,,YES
201290,AH,1,MCM,MCM,355,15715,Multi-Camera Live Prod Lab,1800,2100,T,RUPP,234,B,Andrew Bruner,0,0,12,1,,
201290,AH,1,MCM,MCM,361,14998,PR Cases and Campaigns-SL,830,950,TR,RUPP,222,A,Jessica Cuthbert,3,3,20,5,,
201290,AH,1,MCM,MCM,393,15801,Practicum,,,,,,P,Michael Saunier,1,1,1,0,YES,YES
201290,AH,1,MCM,MCM,430,15656,Producing for Clients,1300,1415,MW,RUPP,222,A,Kathleen Bruner,3,3,12,0,,YES
201290,AH,1,MCM,MCM,455,15716,Directing and Cinematography,1500,1615,MW,RUPP,222,A,Andrew Bruner,3,3,12,0,,YES
201290,AH,H1,MCM,MCM,125,15002,Media Comm: New Majors Orien,900,950,MW,RUPP,104,A,Sara Brookshire,1,1,20,1,,
201310,AH,1,MCM,MCM,170,21039,Digital Tools: After Effects,1300,1530,MTWRF,RUPP,222,A,Joshua Taylor,4,4,24,2,,
201310,AH,1,MCM,MCM,370,21139,Steadicam Workshop,1600,1800,F,,,A,Daniel Madison,2,2,6,0,,YES
201320,AH,1,MCM,MCM,115,35191,Intro to Media Writing,1100,1215,TR,RUPP,222,A,Sara Brookshire,3,3,20,2,,
201320,AH,1,MCM,MCM,115,35630,Intro to Media Writing,1800,1915,MW,RUPP,203,A,Susan Yingling,3,3,20,0,,YES
201320,AH,1,MCM,MCM,215,34804,Audio Production,1200,1315,MW,RUPP,222,A,Benjamin Lancaster,3,3,14,-2,,YES
201320,AH,1,MCM,MCM,220,34805,Film and Video Production,1230,1345,TR,RUPP,222,A,Andrew Bruner,3,3,12,2,,
201320,AH,1,MCM,MCM,220,35511,Film and Video Production,1400,1515,TR,RUPP,222,A,Andrew Bruner,3,3,12,1,,
201320,AH,1,MCM,MCM,225,35193,Foundations of Photojournalism,830,950,WF,RUPP,229,C,Michael Saunier,3,3,19,8,,
201320,AH,1,MCM,MCM,255,34806,Media and Society-SP,900,950,MWF,MFC,5,A,Benjamin Lancaster,3,3,20,-2,,YES
201320,AH,1,MCM,MCM,261,34807,Intro to Public Relations,830,950,MW,RUPP,222,A,Donna Downs,3,3,24,-1,,YES
201320,AH,1,MCM,MCM,300,34808,Media Laboratory,,,,,,B,Donna Downs,1,1,15,9,,
201320,AH,1,MCM,MCM,300,34809,Media Laboratory,,,,,,B,Donna Downs,2,2,0,-7,,YES
201320,AH,1,MCM,MCM,300,34810,Media Laboratory,,,,,,B,Kathleen Bruner,1,1,15,13,YES,
201320,AH,1,MCM,MCM,300,34811,Media Laboratory,,,,,,B,Kathleen Bruner,2,2,0,0,YES,YES
201320,AH,1,MCM,MCM,300,34812,Media Laboratory,,,,,,B,Andrew Bruner,1,1,10,10,YES,
201320,AH,1,MCM,MCM,300,34813,Media Laboratory,,,,,,B,Andrew Bruner,2,2,2,2,YES,
201320,AH,1,MCM,MCM,300,34814,Media Laboratory,,,,,,B,Michael Saunier,1,1,10,10,YES,
201320,AH,1,MCM,MCM,300,34815,Media Laboratory,,,,,,B,Michael Saunier,2,2,2,2,YES,
201320,AH,1,MCM,MCM,315,34816,Advanced Media Writing,1230,1345,TR,RUPP,101,A,Sara Brookshire,3,3,40,-8,,YES
