"
TERM","
SCHOOL","
PTRM","
DEPT","
SUBJ","
NUMB","
CRN","
COURSE TITLE","BEG 
TIME","END 
TIME","MEET
DAYS","
BUILDING","
ROOM","
SCHD","
INSTRUCTOR","CRED
HRS",LOAD,"
CAP","AVAIL
SEATS","LOW 
ENRL","
CLOSED",,,
201390,NS,1,PHP,PHP,100,10575,Fitness for Life,1230,1320,TR,OG,205,G,Matthew Renfrow,2,2,25,1,,,,,
201390,NS,1,PHP,PHP,100,10576,Fitness for Life,1100,1150,MW,EAW,108,G,Matthew Harber,2,2,25,1,,,,,
201390,NS,1,PHP,PHP,100,10577,Fitness for Life,900,950,MW,OG,205,G,Bruce Pratt,2,2,25,0,,YES,,,
201390,NS,1,PHP,PHP,100,10578,Fitness for Life,1100,1150,MW,EAW,109,G,Erik Hayes,2,2,25,0,,YES,,,
201390,NS,1,PHP,PHP,100,10579,Fitness for Life,1100,1150,TR,OG,205,G,Tanya Cordial,2,2,25,0,,YES,,,
201390,NS,1,PHP,PHP,100,10580,Fitness for Life,1230,1320,TR,EAW,108,G,Bruce Pratt,2,2,25,0,,YES,,,
201390,NS,1,PHP,PHP,100,10582,Fitness for Life,1400,1450,TR,OG,205,G,Bruce Pratt,2,2,25,1,,,,,
201390,NS,1,PHP,PHP,100,10584,Fitness for Life,1100,1150,TR,EAW,109,G,Bruce Pratt,2,2,25,0,,YES,,,
201390,NS,1,PHP,PHP,100,10585,Fitness for Life,1200,1250,MW,OG,205,G,Bradford Zarges,2,2,25,0,,YES,,,
201390,NS,1,PHP,PHP,100,14502,Fitness for Life,1400,1450,TR,EAW,109,G,Matthew Renfrow,2,2,25,0,,YES,,,
201390,NS,1,PHP,PHP,100,15866,Fitness for Life,,,,,,4,Jason Scanlan,1,1,99,99,YES,,,,
201390,NS,1,PHP,PHP,111,10602,Intro to Human Performance,900,950,MWF,EAW,109,A,Erik Hayes,3,3,30,-5,,YES,,,
201390,NS,1,PHP,PHP,200FN,14797,Functional Fitness,1100,1150,TR,KSAC,111,G,Erik Hayes,1,1,18,1,,,,,
201390,NS,1,PHP,PHP,200H,12248,Beginning Horsemanship,1700,2000,T,STB,STABLES,G,Maggie Boyle,1,1,10,0,,YES,,,
201390,NS,1,PHP,PHP,200I,11250,Individualized Physical Educ,,,,,,G,Amy Stucky,1,1,5,5,YES,,,,
201390,NS,1,PHP,PHP,200I,15867,Individualized Physical Educ,,,,,,4,Amy Stucky,1,1,99,99,YES,,,,
201390,NS,1,PHP,PHP,200SF,15403,Fitness Swimming,800,850,TR,EAW,POOL,G,Bradford Zarges,1,1,16,10,,,,,
201390,NS,1,PHP,PHP,200WA,14652,Well Aerobics,800,850,TR,KSAC,107 WELL,G,Matthew Harber,1,1,18,1,,,,,
201390,NS,1,PHP,PHP,200Z,14599,Athletic Participation,,,,,,G,Jeffrey Stan,1,1,80,19,,,,,
201390,NS,1,PHP,PHP,215,16148,"IS-Health, Exercise & Aging",,,,,,I,Jeffrey Marsee,2,2,1,0,YES,YES,,,
201390,NS,1,PHP,PHP,225,14653,Care/Prevention Ath Injuries,800,850,MWF,EAW,109,G,Jeffrey Marsee,3,3,20,1,,,,,
201390,NS,1,PHP,PHP,231,16075,Officiating Men Women Sports,930,1020,TR,EAW,109,A,Jeffrey Collins,2,2,10,3,,,,,
201390,NS,1,PHP,PHP,250,14655,Elem School Health & Phys Ed,900,950,MWF,EAW,108,G,Jeffrey Marsee,2,2,24,4,,,,,
201390,NS,1,PHP,PHP,316,14377,Applied Nutrition,1200,1250,MWF,EAW,109,A,Erik Hayes,3,3,20,0,,YES,,,
201390,NS,1,PHP,PHP,324,16071,Motor Learning,1100,1150,TR,EAW,108,G,Donald Taylor,2,2,20,2,,,,,
201390,NS,1,PHP,PHP,345,12257,Challenge Crse Facilitator Cer,1230,1500,R,KSAC,110 CRT 1,G,Anthony Wormgoor,0,0,0,0,YES,,,,
201390,NS,1,PHP,PHP,346,16161,IS Public and Community Health,,,,,,I,Jeffrey Marsee,3,3,1,0,YES,YES,,,
201390,NS,1,PHP,PHP,351,16032,Sport Public Relations,800,850,MWF,OG,219,A,Gregory Wolfe,3,3,20,4,,,,,
201390,NS,1,PHP,PHP,353,14660,Physical Fitness Assessment,1230,1345,TR,EAW,109,G,Erik Hayes,3,3,12,-2,,YES,,,
201390,NS,1,PHP,PHP,355,16034,Research Methods,1400,1515,TR,EAW,108,A,Matthew Harber,3,3,18,-2,,YES,,,
201390,NS,1,PHP,PHP,380,16122,IS Eval of Physical Educ,,,,,,I,Bruce Pratt,2,2,3,2,YES,,,,
201390,NS,1,PHP,PHP,381,14740,Kinesiology,1300,1350,MWF,EAW,108,A,Jeffrey Marsee,3,3,20,4,,,,,
201390,NS,1,PHP,PHP,382,14960,Physiology of Exercise-SP,1300,1350,MWF,EAW,109,A,Erik Hayes,3,3,20,6,,,,,
201390,NS,1,PHP,PHP,392,16123,IS Adapted PE and Recreation,,,,,,I,Bruce Pratt,2,2,3,2,YES,,,,
201390,NS,1,PHP,PHP,393HPE,15904,HPE Practicum B,,,,,,P,Bruce Pratt,4,4,1,1,YES,,,,
201390,NS,1,PHP,PHP,393SMA,16037,Practicum B SMA,,,,,,P,Gregory Wolfe,1,1,5,5,YES,,,,
201390,NS,1,PHP,PHP,393AHPEE,16038,Practicum A HPEE,,,,,,P,Bruce Pratt,1,1,5,5,YES,,,,
201390,NS,1,PHP,PHP,393C,16039,Practicum Coaching,,,,,,P,Gregory Wolfe,4,4,5,5,YES,,,,
201390,NS,1,PHP,PHP,393C,16149,Practicum - Coaching,,,,,,P,Gregory Wolfe,4,4,1,1,YES,,,,
201390,NS,1,PHP,PHP,393,16180,Practicum,,,,,,P,Erik Hayes,2,2,9,0,,YES,,,
201390,NS,1,PHP,PHP,393,16197,Practicum,,,,,,P,Bruce Pratt,2,2,1,0,YES,YES,,,
201390,NS,1,PHP,PHP,393A,16195,Practicum A SMA,,,,,,P,Gregory Wolfe,1,1,5,3,YES,,,,
201390,NS,1,PHP,PHP,393B,16194,Practicum B EXS,,,,,,P,Jeffrey Marsee,1,1,20,18,YES,,,,
201390,NS,1,PHP,PHP,402,15692,Admin of Human Perform-SP,1200,1250,MWF,EAW,108,A,Donald Taylor,3,3,20,9,,,,,
201390,NS,1,PHP,PHP,430,16033,Legal Issues in Sport,800,850,TR,EAW,109,A,Donald Taylor,2,2,12,7,YES,,,,
201390,NS,1,PHP,PHP,453,15455,Physical Fitness Prescription,800,850,MWF,EAW,108,G,Matthew Renfrow,3,3,20,8,,,,,
201390,NS,1,PHP,PHP,482,14962,Adv Physiology of Exercise,1300,1350,MWF,OG,205,G,Matthew Renfrow,3,3,18,2,,,,,
201390,NS,1,PHP,PHP,492,14935,Internship,,,,,,F,Donald Taylor,4,4,10,9,YES,,,,
201420,NS,1,PHP,PHP,100,30503,Fitness for Life,1400,1450,MW,EAW,109,G,Bruce Pratt,2,2,25,25,YES,,,,
201420,NS,1,PHP,PHP,100,30505,Fitness for Life,1200,1250,MW,OG,205,G,Jonathan Meneely,2,2,25,25,YES,,,,
201420,NS,1,PHP,PHP,100,30507,Fitness for Life,1100,1150,TR,OG,219,G,Matthew Renfrow,2,2,25,25,YES,,,,
201420,NS,1,PHP,PHP,100,31113,Fitness for Life,900,950,MW,OG,205,G,Gregory Wolfe,2,2,25,25,YES,,,,
201420,NS,1,PHP,PHP,100,32535,Fitness for Life,900,950,MW,OG,219,G,Kevin Carlson,2,2,25,25,YES,,,,
201420,NS,1,PHP,PHP,100,33413,Fitness for Life,1300,1350,MW,OG,205,G,Jonathan Meneely,2,2,25,25,YES,,,,
201420,NS,1,PHP,PHP,100,33690,Fitness for Life,1100,1150,MW,OG,205,G,Paul Patterson,2,2,25,25,YES,,,,
201420,NS,1,PHP,PHP,100,34051,Fitness for Life,1100,1150,MW,OG,219,G,Bradford Zarges,2,2,25,25,YES,,,,
201420,NS,1,PHP,PHP,100,34568,Fitness for Life,1300,1350,MW,OG,219,G,Denise Johnson,2,2,25,25,YES,,,,
201420,NS,1,PHP,PHP,100,35247,Fitness for Life,1400,1450,TR,EAW,109,G,Bruce Pratt,2,2,25,25,YES,,,,
201420,NS,1,PHP,PHP,100,35555,Fitness for Life,1400,1450,MW,OG,219,G,Kevin Carlson,2,2,25,25,YES,,,,
201420,NS,1,PHP,PHP,100,35636,Fitness for Life,800,850,TR,OG,219,G,Gregory Wolfe,2,2,25,25,YES,,,,
201420,NS,1,PHP,PHP,111,33441,Intro to Human Performance,900,950,MWF,EAW,108,A,Bruce Pratt,3,3,30,30,YES,,,,
201420,NS,1,PHP,PHP,200AW,34647,Aerobic Walking,1300,1350,MW,KSAC,110 TRACK,G,Amy Stucky,1,1,40,40,YES,,,,
201420,NS,1,PHP,PHP,200FN,34889,Functional Fitness,1100,1150,TR,KSAC,107 WELL,G,Kevin Carlson,1,1,36,36,YES,,,,
201420,NS,1,PHP,PHP,200FN,35651,Functional Fitness,1230,1320,TR,KSAC,107 WELL,G,Kevin Carlson,1,1,36,36,YES,,,,
201420,NS,1,PHP,PHP,200H,31240,Beginning Horsemanship,1700,2000,T,STB,STABLES,G,Maggie Boyle,1,1,10,10,YES,,,,
201420,NS,1,PHP,PHP,200I,31285,Individualized Physical Educ,,,,,,G,Amy Stucky,1,1,5,5,YES,,,,
201420,NS,1,PHP,PHP,200SB,35246,Beginning Swimming,900,950,MW,EAW,POOL,G,Bradford Zarges,1,1,12,12,YES,,,,
201420,NS,1,PHP,PHP,200SF,35245,Fitness Swimming,800,850,MW,EAW,POOL,G,Bradford Zarges,1,1,16,16,YES,,,,
201420,NS,1,PHP,PHP,200WA,34918,Well Aerobics,800,850,TR,KSAC,107 WELL,G,Kevin Carlson,1,1,18,18,YES,,,,
201420,NS,1,PHP,PHP,200Z,34997,Athletic Participation,,,,,,G,Jeffrey Stan,1,1,0,0,YES,,,,
201420,NS,1,PHP,PHP,210,34928,Human Performance Technology,800,850,TR,READE,139,A,Donald Taylor,1,1,20,20,YES,,,,
201420,NS,1,PHP,PHP,215,35560,"Health, Exercise & Aging",1100,1150,TR,EAW,109,A,Jeffrey Marsee,2,2,20,20,YES,,,,
201420,NS,1,PHP,PHP,225,34052,Care/Prevention Ath Injuries,900,950,MWF,EAW,109,G,Tanya Cordial,3,3,20,20,YES,,,,
201420,NS,1,PHP,PHP,250,35237,Elem School Health & Phys Ed,1100,1150,MWF,EAW,108,G,Jeffrey Marsee,2,2,40,40,YES,,,,
201420,NS,1,PHP,PHP,273,35578,Intro Exercise Sci Research,,,,,,R,Erik Hayes,1,1,10,10,YES,,,,
201420,NS,1,PHP,PHP,275,35557,Meth Sport Skills/Activities,1200,1250,MWF,OG,219,A,Tena Krause,3,3,30,30,YES,,,,
201420,NS,1,PHP,PHP,280,35558,Exercise Techniques Phys Fit,800,850,T,EAW,108,B,Matthew Renfrow,1,1,15,15,YES,,,,
201420,NS,1,PHP,PHP,302,35252,Lifeguard Training,800,850,TR,EAW,POOL,G,Bradford Zarges,2,2,12,12,YES,,,,
201420,NS,1,PHP,PHP,316,34851,Applied Nutrition,1200,1250,MWF,EAW,109,A,Jeffrey Stan,3,3,20,20,YES,,,,
201420,NS,1,PHP,PHP,328,34761,Prin Strength Train/Cond,1400,1450,MWF,EAW,108,G,Matthew Renfrow,3,3,18,18,YES,,,,
201420,NS,1,PHP,PHP,345,31587,Challenge Crse Facilitator Cer,1230,1500,R,KSAC,110 CRT 1,G,Anthony Wormgoor,3,3,10,10,YES,,,,
201420,NS,1,PHP,PHP,346,35562,Public and Community Health,1230,1345,TR,EAW,108,G,Jeffrey Marsee,3,3,20,20,YES,,,,
201420,NS,1,PHP,PHP,352,35556,Event & Facility Management,1200,1250,MWF,EAW,108,A,Donald Taylor,3,3,20,20,YES,,,,
201420,NS,1,PHP,PHP,353,34853,Physical Fitness Assessment,1230,1345,TR,EAW,109,G,Erik Hayes,3,3,24,24,YES,,,,
