TERM,"
SCHOOL","
PTRM","
DEPT","
SUBJ","
NUMB","
CRN","
COURSE TITLE","BEG 
TIME","END 
TIME","MEET
DAYS","
BUILDING","
ROOM","
SCHD","
INSTRUCTOR","CRED
HRS",LOAD,"
CAP","AVAIL
SEATS","LOW 
ENRL","
CLOSED"
201390,NS,1,PHY,ENP,231,16142,Intro to Electric Circuits,900,950,MWF,EULER,229,A,Joel Gegner,4,3,16,-1,,YES
201390,NS,1,PHY,ENP,231L,16143,Intro to Electric Circuits Lab,1300,1550,T,EULER,229,B,Joel Gegner,0,3,16,-1,,YES
201390,NS,1,PHY,ENP,301,15446,Statics,800,850,MWF,EULER,241,A,Dennis Tweten,3,3,15,4,,
201390,NS,1,PHY,ENP,352,15972,Materials Sci & Solid State Ph,1500,1550,MWF,EULER,241,A,John Steckenrider,3,3,24,15,,
201390,NS,1,PHY,ENP,394,16139,Advanced Engineering Project,1300,1350,MW,NS,210,G,Henry Voss,2,2,10,9,YES,
201390,NS,1,PHY,ENP,491,13312,Review of Fund of Engineering,1300,1350,F,EULER,241,A,Joel Gegner,1,1,18,12,,
201390,NS,1,PHY,ENP,492,13314,Engineering Senior Capstone I,1300,1350,MW,NS,210,A,Henry Voss,2,2,10,5,YES,
201390,NS,1,PHY,PHY,201,15979,Introductory Astronomy,1900,2150,W,EULER,241,A,John Steckenrider,4,4,24,9,,
201390,NS,1,PHY,PHY,201,16147,Introductory Astronomy,1900,2150,W,EULER,241,A,John Steckenrider,3,3,24,22,YES,
201390,NS,1,PHY,PHY,201L,15980,Introductory Astronomy Lab,1300,1450,R,NS,210,B,Dennis Tweten,0,1,12,2,,
201390,NS,1,PHY,PHY,201L,15981,Introductory Astronomy Lab,1500,1650,R,NS,210,B,Dennis Tweten,0,1,12,5,,
201390,NS,1,PHY,PHY,203,10341,General Physics I,1400,1450,MWF,NS,121,A,John Steckenrider,4,4,50,3,,
201390,NS,1,PHY,PHY,211,14669,University Physics I,900,950,MWF,EULER,130,A,Robert Davis,4,4,38,0,,YES
201390,NS,1,PHY,PHY,211L,13023,University Physics I Lab,800,950,T,EULER,243,B,Robert Davis,0,2,8,2,,
201390,NS,1,PHY,PHY,211L,13024,University Physics I Lab,1200,1350,T,EULER,243,B,Dennis Tweten,0,1,8,0,,YES
201390,NS,1,PHY,PHY,211L,13025,University Physics I Lab,800,950,R,EULER,243,B,Dennis Tweten,0,1,8,0,,YES
201390,NS,1,PHY,PHY,211L,13026,University Physics I Lab,1400,1550,T,EULER,243,B,Dennis Tweten,0,1,4,0,YES,YES
201390,NS,1,PHY,PHY,211L,15826,University Physics I Lab,1100,1250,R,EULER,243,B,Dennis Tweten,0,1,7,0,,YES
201390,NS,1,PHY,PHY,211L,16191,University Physics I Lab,1300,1450,R,EULER,243,B,Robert Davis,0,1,8,3,YES,
201390,NS,1,PHY,PHY,311,15975,Modern Physics,1200,1250,MWF,EULER,241,A,Kenneth Kiers,4,4,16,5,,
201390,NS,1,PHY,PHY,311L,15976,Modern Physics Lab,800,950,R,EULER,230,B,Kenneth Kiers,0,2,8,2,,
201390,NS,1,PHY,PHY,311L,15977,Modern Physics Lab,1300,1450,R,EULER,230,B,Kenneth Kiers,0,1,8,3,YES,
201390,NS,1,PHY,PHY,321,15974,Electricity and Magnetism,1100,1150,MWF,EULER,241,A,Robert Davis,3,3,24,10,,
201390,NS,1,PHY,PHY,330,16127,Advanced Laboratory,1500,1550,MW,EULER,230,B,Kenneth Kiers,2,2,5,4,YES,
201390,NS,1,PHY,PHY,330,16144,Advanced Laboratory,,,,,,B,Henry Voss,2,2,5,5,YES,
201390,NS,1,PHY,PHY,412,15978,Quantum Mechanics I,1300,1350,MWF,EULER,241,A,Kenneth Kiers,3,3,24,16,,
201390,NS,1,PHY,PHY,491,15782,Preparation for Physics GRE,1100,1150,T,EULER,241,G,Robert Davis,1,1,18,17,YES,
201420,NS,1,PHY,ENP,252,30411,Principles of Engineering-SP,1400,1450,MWF,EULER,229,C,Joel Gegner,4,4,12,12,YES,
201420,NS,1,PHY,ENP,252L,30888,Principles of Engineering Lab,1200,1350,R,EULER,229,B,Joel Gegner,0,3,12,12,YES,
201420,NS,1,PHY,ENP,357,35739,Heat Transfer,800,850,MWF,EULER,241,A,Dennis Tweten,3,3,16,16,YES,
201420,NS,1,PHY,ENP,392,33889,Junior Engineering Project,1400,1550,T,EULER,228,G,Joel Gegner,2,2,24,24,YES,
201420,NS,1,PHY,ENP,431,35714,Advanced Electronics,900,950,MWF,EULER,229,A,Joel Gegner,4,4,16,16,YES,
201420,NS,1,PHY,ENP,431L,35715,Advanced Electronics Lab,700,950,R,EULER,229,B,Joel Gegner,0,1,16,16,YES,
201420,NS,1,PHY,ENP,494,33405,Engineering Sr Capstone III,800,850,T,NS,210,A,Henry Voss,1,1,10,10,YES,
201420,NS,1,PHY,PHY,120,35742,Renewable Energy Principles,1500,1550,MWF,,,A,Henry Voss,4,4,20,20,YES,
201420,NS,1,PHY,PHY,120L,35743,Renewable Energy Principles Lab,1300,1450,R,,,B,Henry Voss,0,2,10,10,YES,
201420,NS,1,PHY,PHY,120L,35744,Renewable Energy Principles Lab,1500,1650,R,,,B,Henry Voss,0,1,10,10,YES,
201420,NS,1,PHY,PHY,204,30407,General Physics II,1400,1450,MWF,EULER,241,A,John Steckenrider,4,4,28,28,YES,
201420,NS,1,PHY,PHY,212,32862,University Physics II,1300,1350,MTWF,EULER,241,A,Robert Davis,5,5,36,36,YES,
201420,NS,1,PHY,PHY,212L,32864,University Physics II Lab,800,950,T,EULER,243,B,Robert Davis,0,2,9,9,YES,
201420,NS,1,PHY,PHY,212L,32865,University Physics II Lab,1100,1250,R,EULER,243,B,Robert Davis,0,1,9,9,YES,
201420,NS,1,PHY,PHY,212L,32866,University Physics II Lab,800,950,R,EULER,243,B,Robert Davis,0,1,9,9,YES,
201420,NS,1,PHY,PHY,212L,33705,University Physics II Lab,1300,1450,R,EULER,243,B,Robert Davis,0,1,9,9,YES,
201420,NS,1,PHY,PHY,322,35741,Waves and Physical Optics,1500,1550,MWF,EULER,241,A,John Steckenrider,3,3,12,12,YES,
201420,NS,1,PHY,PHY,330,34958,Advanced Laboratory,1400,1450,M,NS,241,B,Kenneth Kiers,2,2,4,4,YES,
201420,NS,1,PHY,PHY,341,30410,Math Meth in Phy Engineerg-SP,1100,1150,MWF,EULER,241,A,Robert Davis,3,3,15,15,YES,
201420,NS,1,PHY,PHY,342,35740,Analytical Mechanics,900,950,MWF,EULER,241,A,Robert Davis,3,3,12,12,YES,
201420,NS,1,PHY,PHY,413,35774,Quantum Mechanics II,1200,1250,TR,EULER,241,A,Kenneth Kiers,2,2,10,10,YES,
201410,NS,1,PHY,ENP,104,21200,Intro Engineering/Software Tls,1400,1530,MTWRF,EULER,103,A,Joel Gegner,4,4,40,40,YES,
201410,NS,1,PHY,ENP,105,21201,Intro to Engineering Ethics,1300,1350,MTWRF,EULER,200,A,John Steckenrider,1,1,40,40,YES,
201410,NS,1,PHY,ENP,394,21284,Advanced Engineering Project,800,1050,MTWRF,,,G,Henry Voss,3,3,30,30,YES,
201410,NS,1,PHY,ENP,493,20632,Engineering Sr Capstone II,800,950,MWF,NS,301,A,Henry Voss,3,3,10,10,YES,
201410,NS,1,PHY,PHY,201,20822,Introductory Astronomy,1300,1520,MTWRF,EULER,109,A,Henry Voss,3,3,96,96,YES,
201410,NS,1,PHY,PHY,201L,20824,Introductory Astronomy Lab,800,950,TR,EULER,243,B,Henry Voss,2,2,16,16,YES,
201410,NS,1,PHY,PHY,201L,20825,Introductory Astronomy Lab,1530,1720,TR,EULER,243,B,Henry Voss,0,1,16,16,YES,
201410,NS,1,PHY,PHY,201L,21044,Introductory Astronomy Lab,1830,2020,TR,EULER,243,B,Henry Voss,0,1,16,16,YES,
201410,NS,1,PHY,PHY,201L,21045,Introductory Astronomy Lab,800,950,WF,EULER,243,B,Henry Voss,0,1,16,16,YES,
201410,NS,1,PHY,PHY,201L,21046,Introductory Astronomy lab,1530,1720,WF,EULER,243,B,Henry Voss,0,1,16,16,YES,
201410,NS,1,PHY,PHY,201L,21047,Introductory Astronomy Lab,1830,2020,WF,EULER,243,B,Henry Voss,0,1,16,16,YES,
