TERM,"
SCHOOL","
PTRM","
DEPT","
SUBJ","
NUMB","
CRN","
COURSE TITLE","BEG 
TIME","END 
TIME","MEET
DAYS","
BUILDING","
ROOM","
SCHD","
INSTRUCTOR","CRED
HRS",LOAD,"
CAP","AVAIL
SEATS","LOW 
ENRL","
CLOSED"
201290,SM,1,PHY,ENP,301,15446,Statics and Dynamics,800,850,MWF,EULER,241,A,PHY Other,3,3,15,6,,
201290,SM,1,PHY,ENP,302,15645,Strength/Materials&Machine Des,1500,1550,MWF,EULER,241,A,PHY Other,3,3,12,9,YES,
201290,SM,1,PHY,ENP,321,15646,Applied Electromagnetics,1400,1450,MW,NS,210,A,Leon Amstutz,2,2,15,3,,
201290,SM,1,PHY,ENP,331,14422,Introduction to Electronics,900,950,MWF,EULER,229,A,Joel Gegner,4,3,16,8,,
201290,SM,1,PHY,ENP,331L,15453,Introduction Electronics Lab,1200,1450,T,EULER,229,B,Joel Gegner,0,3,16,8,,
201290,SM,1,PHY,ENP,332,15647,Control Systems,1100,1150,MWRF,EULER,241,A,Joel Gegner,4,4,24,12,,
201290,SM,1,PHY,ENP,491,13312,Review of Fund of Engineering,1300,1350,F,EULER,241,A,PHY Other,1,1,18,15,YES,
201290,SM,1,PHY,ENP,492,13314,Engineering Senior Capstone I,1300,1350,MW,NS,210,A,Henry Voss,2,2,10,0,YES,
201290,SM,1,PHY,PHY,203,10341,General Physics I,1400,1450,MWF,EULER,241,A,Robert Davis,4,4,32,4,,
201290,SM,1,PHY,PHY,211,14669,University Physics I,900,950,MWF,EULER,130,A,Robert Davis,4,3,32,-6,,YES
201290,SM,1,PHY,PHY,211L,13023,University Physics I Lab,800,950,T,EULER,243,B,Robert Davis,0,2,10,2,,
201290,SM,1,PHY,PHY,211L,13024,University Physics I Lab,1300,1450,T,EULER,243,B,PHY Other,0,1,7,1,,
201290,SM,1,PHY,PHY,211L,13025,University Physics I Lab,800,950,R,EULER,243,B,PHY Other,0,1,9,0,,YES
201290,SM,1,PHY,PHY,211L,13026,University Physics I Lab,1300,1450,R,EULER,243,B,PHY Other,0,1,9,1,,
201290,SM,1,PHY,PHY,211L,15826,University Physics I Lab,1100,1250,R,EULER,243,B,PHY Other,0,1,7,0,,YES
201290,SM,1,PHY,PHY,350,15644,Thermodynamics/Statistical Mec,1200,1250,MWF,EULER,241,A,Robert Davis,4,4,25,20,YES,
201290,SM,1,PHY,PHY,350,15644,Thermodynamics/Statistical Mec,1300,1350,R,EULER,241,A,Robert Davis,0,0,0,0,YES,
201290,SM,1,PHY,PHY,491,15782,Preparation for Physics GRE,1000,1150,R,NS,210,G,Robert Davis,1,1,18,16,YES,
201320,SM,1,PHY,ENP,252,30411,Principles of Engineering-SP,1400,1450,MWF,EULER,229,C,Joel Gegner,4,3,12,6,,
201320,SM,1,PHY,ENP,252L,30888,Principles of Engineering Lab,1200,1350,R,EULER,229,B,Joel Gegner,0,2,12,6,,
201320,SM,1,PHY,ENP,341,35422,Microcomputer Interfacing,900,950,MWF,EULER,229,A,PHY Other,4,3,12,1,,
201320,SM,1,PHY,ENP,341L,35423,Microcomputer Interfacing Lab,730,1020,T,EULER,229,B,PHY Other,0,3,12,1,,
201320,SM,1,PHY,ENP,345,35424,Fundamentals of Space Systems,1600,1650,MF,EULER,241,A,Henry Voss,3,2,12,4,,
201320,SM,1,PHY,ENP,345L,35425,Fundamentals of Space Sys Lab,800,950,R,NS,210,B,Henry Voss,0,2,6,3,YES,
201320,SM,1,PHY,ENP,345L,35426,Fundamentals of Space Sys Lab,1300,1450,T,NS,210,B,Henry Voss,0,1,6,1,YES,
201320,SM,1,PHY,ENP,370,35542,Dynamics,1500,1550,MWF,EULER,241,A,PHY Other,3,3,15,9,,
201320,SM,1,PHY,ENP,392,33889,Junior Engineering Project,1400,1550,T,EULER,228,G,PHY Other,2,2,24,10,,
201320,SM,1,PHY,ENP,494,33405,Engineering Sr Capstone III,800,850,M,NS,210,A,Henry Voss,1,1,10,6,YES,
201320,SM,1,PHY,PHY,204,30407,General Physics II,1400,1450,MWF,EULER,241,A,Robert Davis,4,4,28,8,,
