"
Term","
School","Part
Time","
Dept","
Subj","
Numb","
CRN","
Course Title","Begin
Time","End 
Time","
Days","
Bldg","
Room","
Schd","
Instructor",CRED HRS,LOAD,"
Cap","Avail
Seats","Low 
Enrl","
Closed"
201390,SS,1,PSY,PSY,110,10360,Foundations of Psychology,1100,1150,MWF,AYRES,215,A,Laura Edwards,3,3,60,4,,
201390,SS,1,PSY,PSY,125,10361,Intrapersonal Psychology,1500,1550,MW,AYRES,212,A,Laura Edwards,2,2,18,1,,
201390,SS,1,PSY,PSY,125,14759,Intrapersonal Psychology,1400,1450,MW,AYRES,212,A,Laura Edwards,2,2,18,0,,YES
201390,SS,1,PSY,PSY,200,10364,Introduction to Psychology,1230,1345,TR,READE,240,A,Shawnda Freer,3,3,45,0,,YES
201390,SS,1,PSY,PSY,200LF,16061,Intro to Psych w Lit & Film,1400,1450,MWF,RUPP,104,A,Mark Cosgrove,3,3,25,8,,
201390,SS,1,PSY,PSY,210,13046,Ethics in Psychology,1000,1150,T,READE,221,A,Scott Moeschberger,2,2,25,-5,,YES
201390,SS,1,PSY,PSY,240,16120,Child Psychology,1800,2050,T,AYRES,215,A,Scott Edwards,3,3,50,38,,
201390,SS,1,PSY,PSY,250,10368,Life Span Development,1100,1150,MWF,READE,212,A,Joe Lund,3,3,30,4,,
201390,SS,1,PSY,PSY,250,10369,Life Span Development,1200,1250,MWF,READE,212,A,Joe Lund,3,3,30,11,,
201390,SS,1,PSY,PSY,260,15613,Applied Psychology,1200,1250,MWF,READE,241,A,Diane Dungan,3,3,25,0,,YES
201390,SS,1,PSY,PSY,272,10370,Research in Psychology,1300,1350,MWF,READE,212,A,Scott Moeschberger,3,3,20,-3,,YES
201390,SS,1,PSY,PSY,300,10371,Abnormal Psychology,800,850,MTWF,READE,218,A,Stephen Snyder,4,4,25,0,,YES
201390,SS,1,PSY,PSY,310,12583,Integ of Psy & Christianity,900,950,MWF,READE,128,A,Mark Cosgrove,3,3,25,1,,
201390,SS,1,PSY,PSY,321,10372,Social Psychology-SP,900,950,MWF,AYRES,212,A,Joe Lund,3,3,25,11,,
201390,SS,1,PSY,PSY,330,13687,Appl Psychological Statistics,1200,1250,MWF,READE,128,A,Stephen Snyder,3,3,25,10,,
201390,SS,1,PSY,PSY,330,13687,Appl Psychological Statistics,1200,1250,MWF,READE,128,A,Stephen Snyder,3,3,25,10,,
201390,SS,1,PSY,PSY,345,15971,Research Lab-SL,,,,,,B,Stephen Snyder,3,3,10,4,,
201390,SS,1,PSY,PSY,350,16119,Child & Adolescent Psychology,1300,1350,MWF,READE,119,A,Laura Edwards,3,3,30,23,,
201390,SS,1,PSY,PSY,357,16171,"IS Peace, Reconcil and Justice",,,,,,I,Scott Moeschberger,3,3,2,0,YES,YES
201390,SS,1,PSY,PSY,370,16062,Neuroscience & the Soul,1300,1350,MWF,ZON,203,A,Mark Cosgrove,3,3,20,12,,
201390,SS,1,PSY,PSY,390,10375,Christian Marriage,1400,1450,MWF,READE,218,A,Stephen Snyder,3,3,25,0,,YES
201390,SS,1,PSY,PSY,393,15448,Practicum,,,MTWR,,,P,Diane Dungan,3,3,10,0,,YES
